framework,control_id,title,requirement,owner,status,severity,evidence_url,reviewed_at,next_review_at,notes
PCI DSS,PCI-1.1,Firewall configuration standards,Install and maintain a firewall configuration to protect cardholder data,platform,passed,low,https://drive.example.com/pci/firewall-config-2026-06-25.pdf,2026-06-25,2026-09-25,Reviewed quarterly
PCI DSS,PCI-1.2,Default passwords and security parameters,Change vendor-supplied defaults before installing on network,security,passed,low,https://drive.example.com/pci/default-passwords.pdf,2026-06-20,2026-09-20,
PCI DSS,PCI-2.1,Change default system passwords,Change defaults for any system component before connecting to network,platform,partial,medium,https://drive.example.com/pci/default-password-audit.xlsx,2026-05-15,2026-07-15,Pending re-scan of staging environment
PCI DSS,PCI-3.1,Protect stored cardholder data,Keep cardholder data storage to a minimum,security,passed,low,https://drive.example.com/pci/data-inventory.pdf,2026-06-01,2026-09-01,
PCI DSS,PCI-3.4,Render PAN unreadable,Render PAN unreadable anywhere it is stored,security,failed,high,https://drive.example.com/pci/pan-encryption-gap.pdf,2026-06-10,2026-07-10,Three legacy DB columns still store plain PAN
PCI DSS,PCI-4.1,Encrypt transmission of cardholder data,Use strong cryptography and security protocols,payments,passed,low,https://drive.example.com/pci/tls-scan.pdf,2026-06-22,2026-09-22,
PCI DSS,PCI-6.5,Address common coding vulnerabilities,Train developers in secure coding techniques,platform,passed,low,https://drive.example.com/pci/secure-coding-training.pdf,2026-06-18,2026-09-18,
PCI DSS,PCI-8.2,Strong authentication,Implement strong authentication for all personnel,security,partial,medium,https://drive.example.com/pci/mfa-coverage.pdf,2026-04-10,2026-07-10,MFA coverage at 87% on non-prod systems
PCI DSS,PCI-10.1,Audit trails,Implement audit trails linking access to system components,risk,passed,low,https://drive.example.com/pci/audit-trail-config.pdf,2026-06-12,2026-09-12,
PCI DSS,PCI-10.7,Retain audit trail history,Retain audit trail history for at least one year,risk,passed,low,https://drive.example.com/pci/log-retention.pdf,2026-06-05,2026-09-05,
PCI DSS,PCI-11.2,Vulnerability scans,Run internal/external vulnerability scans at least quarterly,security,pending,medium,,2026-06-01,2026-07-01,Quarterly scan scheduled for next week
PCI DSS,PCI-12.1,Information security policy,Establish and publish an information security policy,compliance,passed,low,https://drive.example.com/pci/infosec-policy.pdf,2026-06-25,2026-12-25,
ISO 27001,ISO-A.5.1.1,Policies for information security,Management direction and support for information security,compliance,passed,low,https://drive.example.com/iso/a5-policy.pdf,2026-06-25,2026-12-25,
ISO 27001,ISO-A.5.1.2,Review of policies for information security,Policies reviewed at planned intervals or when significant changes occur,compliance,passed,low,https://drive.example.com/iso/a5-review.pdf,2026-06-25,2026-12-25,
ISO 27001,ISO-A.6.1.1,Information security roles and responsibilities,Define and allocate information security responsibilities,hr,passed,low,https://drive.example.com/iso/a6-racis.pdf,2026-06-20,2026-12-20,
ISO 27001,ISO-A.9.1.2,Access to networks and network services,Users shall only access network services they are authorized to use,security,passed,low,https://drive.example.com/iso/a9-network-access.pdf,2026-06-18,2026-09-18,
ISO 27001,ISO-A.9.2.1,User registration and de-registration,Formal user registration and de-registration process,platform,partial,medium,https://drive.example.com/iso/a9-user-lifecycle.pdf,2026-05-01,2026-07-01,15 dormant accounts pending deactivation
ISO 27001,ISO-A.9.4.1,Restrictions to information access,Access to information and application functions restricted,security,passed,low,https://drive.example.com/iso/a9-access-restrictions.pdf,2026-06-15,2026-09-15,
ISO 27001,ISO-A.12.2.1,Controls against malware,Detection prevention and recovery controls to protect against malware,platform,passed,low,https://drive.example.com/iso/a12-malware.pdf,2026-06-22,2026-09-22,
ISO 27001,ISO-A.12.3.1,Information backup,Backup copies of information and software,platform,passed,low,https://drive.example.com/iso/a12-backups.pdf,2026-06-22,2026-09-22,
ISO 27001,ISO-A.12.6.1,Management of technical vulnerabilities,Timely information about technical vulnerabilities,security,failed,high,https://drive.example.com/iso/a12-vulns.pdf,2026-06-10,2026-07-10,Critical CVE from June patch cycle unremediated
ISO 27001,ISO-A.16.1.1,Responsibilities and procedures,Management responsibilities and procedures to ensure quick incident response,security,passed,low,https://drive.example.com/iso/a16-procedures.pdf,2026-06-25,2026-09-25,
ISO 27001,ISO-A.16.1.4,Assessment and decision on information security events,Assess information security events and decide if they are incidents,security,passed,low,https://drive.example.com/iso/a16-assessment.pdf,2026-06-25,2026-09-25,
ISO 27001,ISO-A.17.1.1,Planning information security continuity,Determine requirements for continuity during adverse situations,operations,passed,low,https://drive.example.com/iso/a17-continuity.pdf,2026-06-20,2026-12-20,
ISO 27001,ISO-A.18.1.1,Identification of applicable legislation,Identify statutory regulatory and contractual requirements,legal,passed,low,https://drive.example.com/iso/a18-legislation.pdf,2026-06-25,2026-12-25,
